Flame_retardant_AdditionAmount(wt%),Curing_agent_AdditionAmount(wt%),MW_FR,EEW,AMW_FR,Mp_FR,Mi_FR,RBF_FR,Sp_FR,Curing_Tem1,O%_FR,H%_FR,Si_FR,N%_FR,MCD_FR,MW_EP,C%_FR,Curing_Tem2,ARR_FR,nTA_FR,Curing_Time2,MW_Curing_Agent,RBN_FR,Fsp3_FR,Curing_Time1,Curing_Tem3,nHDon_FR,nDB_FR,AMW_EP,nHet_FR,RFD_FR,AP_FR,AMW_Curing_Agent,nCsp3_FR,nBM_FR,nN_FR,nO_FR,nH_FR,Curing_Time3,max_conj_path_FR,nP_FR,RCI_FR,H-048_FR,GD_FR,NNRS_FR,H-047_FR,H-050_FR,nAA_FR,Mp_Curing_Agent,nArOH_FR,H-052_FR,nHAcc_FR,C-006_FR,Curing_Tem4,nCs_FR,nCbH_FR,C-025_FR,SCBO_FR,nCp_FR,O-059_FR,C-026_FR,nRNHR_FR,O-058_FR,Si_Curing_Agent,nR05_FR,O-057_FR,Rbrid_FR,NRS_FR,H-046_FR,nCb-_FR,nArNH2_FR,nCsp3_Curing_Agent,nHM_FR,nROH_FR,nArOR_FR,O-056_FR,C-005_FR,nBO_FR,nC_FR,C-002_FR,P-116_FR,Sp_Curing_Agent,C%_Curing_Agent,nCt_FR,C-001_FR,LOI
5,19,1203.99,196,9.121136364,0.703640909,1.11385,0.170212766,92.8806,120,15.90909091,36.36363636,147.0282,2.272727273,0.571428571,340.45,43.18181818,150,0.387096774,15,2,198.29,24,0.210526316,2,180,3,12,6.947959184,27,0.25,0.428571429,6.837586207,12,48,3,21,48,2,14,3,1.25,0,0.026678141,0.4,39,3,36,0.675165517,0,0,24,6,0,6,24,6,123,0,0,6,0,12,32.4878,0,3,6,4,0,12,0,1,3,3,0,0,0,93,57,3,3,19.5798,44.82758621,0,0,1
5,19,149.12,196,7.456,0.516195,1.20661,0,10.3239,120,20,60,24.1322,15,0,340.45,0,150,0,4,2,198.29,0,0,2,180,12,1,6.947959184,8,0,0,6.837586207,0,1,3,4,12,2,0,1,0,0,0.142857143,0,0,12,0,0.675165517,0,0,4,0,0,0,0,0,5,0,0,0,0,1,32.4878,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,19.5798,44.82758621,0,0,1
5,19,1521.36,196,8.845116279,0.726481395,1.103377907,0.184782609,124.9548,120,11.62790698,37.20930233,189.781,1.162790698,0.722222222,340.45,47.6744186,150,0.65,6,2,198.29,34,0.024390244,2,180,2,6,6.947959184,26,0,0.722222222,6.837586207,2,84,2,20,64,2,6,4,1,0,0.020768432,1,62,2,78,0.675165517,0,0,22,0,0,2,60,4,165,0,0,14,0,6,32.4878,0,0,0,13,0,18,0,1,4,0,0,0,0,120,82,0,0,19.5798,44.82758621,0,0,1
5,19,1008.85,196,9.088738739,0.765972973,1.0912,0.06504065,85.023,120,9.009009009,36.03603604,121.1232,0,0.873239437,340.45,51.35135135,150,0.65060241,5,2,198.29,8,0.052631579,2,180,0,4,6.947959184,14,0.258064516,0.76056338,6.837586207,3,58,0,10,40,2,14,4,1.258064516,2,0.033400402,0.384615385,35,0,54,0.675165517,0,0,10,0,0,0,35,11,114,1,2,8,0,4,32.4878,0,0,8,5,3,19,0,1,4,0,0,0,0,83,57,0,2,19.5798,44.82758621,0,1,1
5,19,744.66,196,8.658837209,0.703753488,1.109695349,0.153846154,60.5228,120,13.95348837,39.53488372,95.4338,0,0.538461538,340.45,44.18604651,150,0.315789474,8,2,198.29,14,0.263157895,2,180,2,8,6.947959184,14,0.285714286,0.346153846,6.837586207,10,27,0,12,34,2,14,2,1.285714286,0,0.042986425,0.333333333,25,2,18,0.675165517,0,1,12,4,0,3,12,3,76,0,1,3,0,6,32.4878,0,2,4,2,0,6,0,1,2,2,0,0,0,57,38,2,2,19.5798,44.82758621,3,0,1
5,19,930.84,196,9.037281553,0.742280583,1.109383495,0.115044248,76.4549,120,6.796116505,35.9223301,114.2665,7.766990291,0.848484848,340.45,46.60194175,150,0.684210526,3,2,198.29,13,0.041666667,2,180,4,3,6.947959184,18,0.142857143,0.787878788,6.837586207,2,55,8,7,37,2,14,3,1.142857143,2,0.035431235,0.636363636,29,4,52,0.675165517,0,0,13,0,0,0,29,6,105,0,0,7,0,3,32.4878,2,0,4,7,0,13,0,1,3,0,0,0,0,76,48,0,2,19.5798,44.82758621,0,0,1
5,19,236.28,196,7.16,0.673906061,1.128827273,0.212121212,22.2389,120,3.03030303,51.51515152,37.2513,6.060606061,0.375,340.45,36.36363636,150,0.375,3,2,198.29,7,0.166666667,2,180,2,3,6.947959184,4,0,0.375,6.837586207,2,9,2,1,17,2,8,1,1,0,0.133333333,1,15,2,6,0.675165517,0,0,3,2,0,0,5,0,22,0,0,1,0,1,32.4878,0,0,0,1,0,1,0,1,1,0,0,0,0,16,12,0,0,19.5798,44.82758621,0,0,1
5,19,419.54,196,7.110847458,0.636661017,1.152288136,0.245901639,37.563,120,1.694915254,50.84745763,67.985,15.25423729,0.517241379,340.45,30.50847458,150,0.483870968,1,2,198.29,15,0.5,2,180,3,1,6.947959184,11,0,0.517241379,6.837586207,9,16,9,1,30,2,5,1,1,3,0.07635468,1,12,3,15,0.675165517,0,0,7,6,0,3,0,0,39.5,0,0,0,0,1,32.4878,3,0,0,3,0,0,0,1,1,0,0,0,0,31,18,3,0,19.5798,44.82758621,0,0,1
5,19,638.81,196,7.428023256,0.699003488,1.116061628,0.131868132,60.1143,120,1.162790698,45.34883721,95.9813,6.976744186,0.765957447,340.45,45.34883721,150,0.692307692,4,2,198.29,12,0.076923077,2,180,9,1,6.947959184,8,0,0.765957447,6.837586207,3,37,6,1,39,2,6,1,1,0,0.048103608,1,24,9,36,0.675165517,0,0,7,0,0,3,24,6,71,0,0,6,0,1,32.4878,0,0,0,6,6,12,3,1,1,0,0,0,0,52,39,3,0,19.5798,44.82758621,0,0,1
5,19,538.64,196,7.378630137,0.659719178,1.128864384,0.2,48.1595,120,6.849315068,47.94520548,82.4071,5.479452055,0.473684211,340.45,38.35616438,150,0.45,5,2,198.29,15,0.285714286,2,180,4,3,6.947959184,10,0,0.473684211,6.837586207,8,21,4,5,35,2,8,1,1,0,0.056899004,1,25,4,18,0.675165517,0,0,9,4,0,2,11,2,52,2,0,5,0,1,32.4878,0,0,0,3,0,7,0,1,1,0,2,0,2,40,28,2,0,19.5798,44.82758621,0,0,1
