Flame_retardant_AdditionAmount(wt%),Curing_agent_AdditionAmount(wt%),MW_FR,EEW,AMW_FR,Mp_FR,Mi_FR,RBF_FR,Sp_FR,Curing_Tem1,O%_FR,H%_FR,Si_FR,N%_FR,MCD_FR,MW_EP,C%_FR,Curing_Tem2,ARR_FR,nTA_FR,Curing_Time2,MW_Curing_Agent,RBN_FR,Fsp3_FR,Curing_Time1,Curing_Tem3,nHDon_FR,nDB_FR,AMW_EP,nHet_FR,RFD_FR,AP_FR,AMW_Curing_Agent,nCsp3_FR,nBM_FR,nN_FR,nO_FR,nH_FR,Curing_Time3,max_conj_path_FR,nP_FR,RCI_FR,H-048_FR,GD_FR,NNRS_FR,H-047_FR,H-050_FR,nAA_FR,Mp_Curing_Agent,nArOH_FR,H-052_FR,nHAcc_FR,C-006_FR,Curing_Tem4,nCs_FR,nCbH_FR,C-025_FR,SCBO_FR,nCp_FR,O-059_FR,C-026_FR,nRNHR_FR,O-058_FR,Si_Curing_Agent,nR05_FR,O-057_FR,Rbrid_FR,NRS_FR,H-046_FR,nCb-_FR,nArNH2_FR,nCsp3_Curing_Agent,nHM_FR,nROH_FR,nArOR_FR,O-056_FR,C-005_FR,nBO_FR,nC_FR,C-002_FR,P-116_FR,Sp_Curing_Agent,C%_Curing_Agent,nCt_FR,C-001_FR,TRS_FR,nCq_FR,C-007_FR,nB_FR,H-051_FR,O-060_FR,P-117_FR,nRNH2_FR,nP(=O)O2R_FR,N-070_FR,RBF_Curing_Agent,nH_Curing_Agent,nCconj_FR,nOHs_FR,Curing_Time4,nCIC_FR,Rperim_FR,nR06_FR,nArNHR_FR,nROR_FR,C-009_FR,MCD_Curing_Agent,nBT_FR,nRSR_FR,nPO4_FR,N-067_FR,N-073_FR,Si-111_FR,Mi_Curing_Agent,Sp_EP,nS_FR,nR10_FR,nCONN_FR,nRNHO_FR,nOHp_FR,C-008_FR,H-053_FR,N-075_FR,nAT_FR,nCrq_FR,nImidazoles_FR,C-003_FR,H-049_FR,N-069_FR,P-120_FR,N%_Curing_Agent,nCs_Curing_Agent,nSK_FR,nFuranes_FR,nTriazoles_FR,nDB_Curing_Agent,ARR_Curing_Agent,nR07_FR,nR09_FR,nBnz_FR,nS(=O)2_FR,nSO2N_FR,nOxiranes_FR,C-032_FR,C-040_FR,S-110_FR,B-112_FR,P-118_FR,Fsp3_Curing_Agent,C-025_Curing_Agent,H%_EP,nTB_FR,nCL_FR,nCsp2_FR,nCrs_FR,nRCONR2_FR,nRNR2_FR,n135-Triazines_FR,C-024_FR,C-034_FR,C-037_FR,RBN_Curing_Agent,H%_Curing_Agent,C-001_Curing_Agent,Si_EP,Mp_EP,nStructures_FR,nBridgeHead_FR,nNq_FR,nPyrimidines_FR,C-030_FR,C-031_FR,C-044_FR,H-054_FR,N-078_FR,nAA_Curing_Agent,nTA_Curing_Agent,nBM_Curing_Agent,nHet_Curing_Agent,AP_Curing_Agent,nHDon_Curing_Agent,MCD_EP,nRCOOH_FR,nRCONHR_FR,nArNR2_FR,nThiazoles_FR,C-011_FR,C-016_FR,C-027_FR,C-028_FR,C-033_FR,C-035_FR,C-042_FR,H-055_FR,N-072_FR,Curing_Time5,Curing_Tem6,nSpiro_FR,nR03_FR,nR=Cs_FR,nRCONH2_FR,nN(CO)2_FR,nPyrroles_FR,C-018_FR,N-071_FR,nO_Curing_Agent,O%_Curing_Agent,Curing_Tem5,nAB_FR,nCrt_FR,nCar_FR,nArC=N_FR,nN+_FR,nP(=O)R3/nPR5_FR,C-004_FR,O-062_FR,N-066_FR,Cl-090_FR,S-108_FR,P-119_FR,nCb-_Curing_Agent,O-060_Curing_Agent,nTA_EP,RBF_EP,O%_EP,X%_FR,nR08_FR,nArCHO_FR,nArCNO_FR,nSO2OH_FR,nArX_FR,nThiophenes_FR,C-019_FR,N-068_FR,F-085_FR,S-107_FR,SCBO_Curing_Agent,nC_Curing_Agent,nHM_Curing_Agent,nCsp2_Curing_Agent,nCIC_Curing_Agent,Rperim_Curing_Agent,nCp_Curing_Agent,nCrt_Curing_Agent,nRNH2_Curing_Agent,nArNH2_Curing_Agent,C-002_Curing_Agent,C-005_Curing_Agent,C-026_Curing_Agent,H-046_Curing_Agent,H-047_Curing_Agent,H-048_Curing_Agent,H-049_Curing_Agent,Curing_Time6,nBT_EP,RBN_EP,nN_EP,N%_EP,nCsp3_EP,nF_FR,nX_FR,nCsp_FR,nR11_FR,nR=Ct_FR,nRCOOR_FR,nArCO_FR,nRC=N_FR,nArCN_FR,nSO3_FR,nPR3_FR,nPyrazines_FR,C-015_FR,C-022_FR,C-036_FR,C-041_FR,C-043_FR,O-063_FR,N-074_FR,N-076_FR,N-079_FR,Br-094_FR,GD_Curing_Agent,nTB_Curing_Agent,nN_Curing_Agent,nP_Curing_Agent,nS_Curing_Agent,max_conj_path_Curing_Agent,RFD_Curing_Agent,NRS_Curing_Agent,NNRS_Curing_Agent,nR05_Curing_Agent,nR10_Curing_Agent,nCq_Curing_Agent,nRCONH2_Curing_Agent,nArCONHR_Curing_Agent,nArC=N_Curing_Agent,nRCN_Curing_Agent,nArOH_Curing_Agent,nArOR_Curing_Agent,nS(=O)2_Curing_Agent,nImidazoles_Curing_Agent,nHAcc_Curing_Agent,C-008_Curing_Agent,C-037_Curing_Agent,C-042_Curing_Agent,H-050_Curing_Agent,H-051_Curing_Agent,O-058_Curing_Agent,N-067_Curing_Agent,N-069_Curing_Agent,P-116_Curing_Agent,Curing_Pressure,LOI
5,41.6,284.26,213,8.613939394,0.738639394,1.098736364,0.085714286,24.3751,100,9.090909091,39.39393939,36.2583,0,0.85,340.45,48.48484848,130,0.545454545,2,6,166.19,3,0.125,1,150,0,2,6.947959184,4,0,0.6,7.554090909,2,14,0,3,13,3,6,1,1,0,0.115789474,1,11,0,12,0.644113636,0,0,3,0,0,2,10,0,30,0,0,2,0,2,24.7042,1,0,0,3,0,2,0,5,1,0,0,0,0,22,16,1,0,14.1705,40.90909091,0,0,17,0,0,0,2,1,0,0,0,0,0,10,0,0,0,3,17,2,0,0,0,0.75,35,0,0,0,0,0,1.122918182,31.9548,0,0,0,0,0,1,0,0,33,0,0,0,0,0,0,0,2,20,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,0.555555556,0,48.97959184,0,0,14,2,0,0,0,10,0,0,0,45.45454545,1,54.82,0.652138776,1,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.63636364,0,12,0,12,0,0,0,0,0,0,0,0,1,0,1,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,0,0,0,16,9,0,4,2,9,1,1,0,0,2,0,0,7,2,0,0,0,52,8,0,0,9,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.196969697,0,0,0,0,0,0.222222222,1,0.5,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,29.1
7.2,39.8,284.26,213,8.613939394,0.738639394,1.098736364,0.085714286,24.3751,100,9.090909091,39.39393939,36.2583,0,0.85,340.45,48.48484848,130,0.545454545,2,6,166.19,3,0.125,1,150,0,2,6.947959184,4,0,0.6,7.554090909,2,14,0,3,13,3,6,1,1,0,0.115789474,1,11,0,12,0.644113636,0,0,3,0,0,2,10,0,30,0,0,2,0,2,24.7042,1,0,0,3,0,2,0,5,1,0,0,0,0,22,16,1,0,14.1705,40.90909091,0,0,17,0,0,0,2,1,0,0,0,0,0,10,0,0,0,3,17,2,0,0,0,0.75,35,0,0,0,0,0,1.122918182,31.9548,0,0,0,0,0,1,0,0,33,0,0,0,0,0,0,0,2,20,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,0.555555556,0,48.97959184,0,0,14,2,0,0,0,10,0,0,0,45.45454545,1,54.82,0.652138776,1,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.63636364,0,12,0,12,0,0,0,0,0,0,0,0,1,0,1,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,0,0,0,16,9,0,4,2,9,1,1,0,0,2,0,0,7,2,0,0,0,52,8,0,0,9,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.196969697,0,0,0,0,0,0.222222222,1,0.5,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,31.7
9.7,37.9,284.26,213,8.613939394,0.738639394,1.098736364,0.085714286,24.3751,100,9.090909091,39.39393939,36.2583,0,0.85,340.45,48.48484848,130,0.545454545,2,6,166.19,3,0.125,1,150,0,2,6.947959184,4,0,0.6,7.554090909,2,14,0,3,13,3,6,1,1,0,0.115789474,1,11,0,12,0.644113636,0,0,3,0,0,2,10,0,30,0,0,2,0,2,24.7042,1,0,0,3,0,2,0,5,1,0,0,0,0,22,16,1,0,14.1705,40.90909091,0,0,17,0,0,0,2,1,0,0,0,0,0,10,0,0,0,3,17,2,0,0,0,0.75,35,0,0,0,0,0,1.122918182,31.9548,0,0,0,0,0,1,0,0,33,0,0,0,0,0,0,0,2,20,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,0.555555556,0,48.97959184,0,0,14,2,0,0,0,10,0,0,0,45.45454545,1,54.82,0.652138776,1,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.63636364,0,12,0,12,0,0,0,0,0,0,0,0,1,0,1,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,0,0,0,16,9,0,4,2,9,1,1,0,0,2,0,0,7,2,0,0,0,52,8,0,0,9,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.196969697,0,0,0,0,0,0.222222222,1,0.5,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,33.1
0,45.2,284.26,213,8.613939394,0.738639394,1.098736364,0.085714286,24.3751,100,9.090909091,39.39393939,36.2583,0,0.85,340.45,48.48484848,130,0.545454545,2,6,166.19,3,0.125,1,150,0,2,6.947959184,4,0,0.6,7.554090909,2,14,0,3,13,3,6,1,1,0,0.115789474,1,11,0,12,0.644113636,0,0,3,0,0,2,10,0,30,0,0,2,0,2,24.7042,1,0,0,3,0,2,0,5,1,0,0,0,0,22,16,1,0,14.1705,40.90909091,0,0,17,0,0,0,2,1,0,0,0,0,0,10,0,0,0,3,17,2,0,0,0,0.75,35,0,0,0,0,0,1.122918182,31.9548,0,0,0,0,0,1,0,0,33,0,0,0,0,0,0,0,2,20,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,0.555555556,0,48.97959184,0,0,14,2,0,0,0,10,0,0,0,45.45454545,1,54.82,0.652138776,1,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.63636364,0,12,0,12,0,0,0,0,0,0,0,0,1,0,1,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,0,0,0,16,9,0,4,2,9,1,1,0,0,2,0,0,7,2,0,0,0,52,8,0,0,9,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.196969697,0,0,0,0,0,0.222222222,1,0.5,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,20.1
5,41.6,312.27,227,8.922,0.737988571,1.099077143,0.026315789,25.8296,100,11.42857143,37.14285714,38.4677,0,0.863636364,340.45,48.57142857,130,0.48,3,6,166.19,1,0.176470588,1,150,0,3,6.947959184,5,0.210526316,0.545454545,7.554090909,3,15,0,4,13,3,14,1,1.210526316,0,0.108225108,0.5,11,0,12,0.644113636,0,0,4,1,0,2,8,3,34,0,0,1,0,3,24.7042,1,0,2,2,0,4,0,5,1,0,0,0,0,25,17,1,1,14.1705,40.90909091,0,0,23,0,0,0,2,1,0,0,0,0,0,10,0,0,0,4,19,3,0,0,0,0.75,38,0,0,0,0,0,1.122918182,31.9548,0,2,0,0,0,1,0,0,35,0,0,0,0,0,0,0,2,22,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,0.555555556,0,48.97959184,0,0,14,2,0,0,0,8,0,0,0,45.45454545,1,54.82,0.652138776,1,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.63636364,0,12,0,12,0,0,1,0,0,0,0,0,0,0,1,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,0,0,0,16,9,0,4,2,9,1,1,0,0,2,0,0,7,2,0,0,0,52,8,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196969697,0,0,0,0,0,0.222222222,1,0.5,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,27.1
7.6,39.8,312.27,227,8.922,0.737988571,1.099077143,0.026315789,25.8296,100,11.42857143,37.14285714,38.4677,0,0.863636364,340.45,48.57142857,130,0.48,3,6,166.19,1,0.176470588,1,150,0,3,6.947959184,5,0.210526316,0.545454545,7.554090909,3,15,0,4,13,3,14,1,1.210526316,0,0.108225108,0.5,11,0,12,0.644113636,0,0,4,1,0,2,8,3,34,0,0,1,0,3,24.7042,1,0,2,2,0,4,0,5,1,0,0,0,0,25,17,1,1,14.1705,40.90909091,0,0,23,0,0,0,2,1,0,0,0,0,0,10,0,0,0,4,19,3,0,0,0,0.75,38,0,0,0,0,0,1.122918182,31.9548,0,2,0,0,0,1,0,0,35,0,0,0,0,0,0,0,2,22,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,0.555555556,0,48.97959184,0,0,14,2,0,0,0,8,0,0,0,45.45454545,1,54.82,0.652138776,1,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.63636364,0,12,0,12,0,0,1,0,0,0,0,0,0,0,1,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,0,0,0,16,9,0,4,2,9,1,1,0,0,2,0,0,7,2,0,0,0,52,8,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196969697,0,0,0,0,0,0.222222222,1,0.5,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,28.7
10,37.9,312.27,227,8.922,0.737988571,1.099077143,0.026315789,25.8296,100,11.42857143,37.14285714,38.4677,0,0.863636364,340.45,48.57142857,130,0.48,3,6,166.19,1,0.176470588,1,150,0,3,6.947959184,5,0.210526316,0.545454545,7.554090909,3,15,0,4,13,3,14,1,1.210526316,0,0.108225108,0.5,11,0,12,0.644113636,0,0,4,1,0,2,8,3,34,0,0,1,0,3,24.7042,1,0,2,2,0,4,0,5,1,0,0,0,0,25,17,1,1,14.1705,40.90909091,0,0,23,0,0,0,2,1,0,0,0,0,0,10,0,0,0,4,19,3,0,0,0,0.75,38,0,0,0,0,0,1.122918182,31.9548,0,2,0,0,0,1,0,0,35,0,0,0,0,0,0,0,2,22,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,0.555555556,0,48.97959184,0,0,14,2,0,0,0,8,0,0,0,45.45454545,1,54.82,0.652138776,1,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.63636364,0,12,0,12,0,0,1,0,0,0,0,0,0,0,1,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,0,0,0,16,9,0,4,2,9,1,1,0,0,2,0,0,7,2,0,0,0,52,8,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196969697,0,0,0,0,0,0.222222222,1,0.5,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,30.2
2.5,16.55,687.62,196,9.047631579,0.740209211,1.107601316,0.095238095,56.2559,160,7.894736842,35.52631579,84.1777,6.578947368,0.87755102,340.45,47.36842105,0,0.684210526,2,0,198.29,8,0.055555556,2,0,3,2,6.947959184,13,0.186046512,0.795918367,6.837586207,2,41,5,6,27,0,14,2,1.186046512,4,0.048469388,0.555555556,20,3,39,0.675165517,0,0,10,0,0,0,16,4,78.5,0,0,4,0,2,32.4878,3,0,4,5,0,8,0,1,2,0,0,0,0,57,36,0,2,19.5798,44.82758621,0,0,51,0,0,0,0,4,0,0,0,2,0.066666667,14,0,0,0,9,43,6,2,0,2,0.8,84,0,0,0,1,0,1.120268966,31.9548,0,4,0,0,0,0,0,2,76,0,0,0,0,0,0,6.896551724,1,49,2,1,0,0.75,0,0,4,0,0,0,1,0,0,0,0,0.076923077,2,48.97959184,0,0,34,0,0,0,0,20,2,0,2,48.27586207,0,54.82,0.652138776,1,0,0,0,0,0,1,0,0,12,2,12,2,0.8,4,0.72,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,34,0,0,0,0,0,0,0,0,0,4,0,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,0,0,0,22,13,0,12,2,12,0,0,0,2,1,0,2,2,8,0,0,0,52,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152380952,0,2,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,29
5,16.1,687.62,196,9.047631579,0.740209211,1.107601316,0.095238095,56.2559,160,7.894736842,35.52631579,84.1777,6.578947368,0.87755102,340.45,47.36842105,0,0.684210526,2,0,198.29,8,0.055555556,2,0,3,2,6.947959184,13,0.186046512,0.795918367,6.837586207,2,41,5,6,27,0,14,2,1.186046512,4,0.048469388,0.555555556,20,3,39,0.675165517,0,0,10,0,0,0,16,4,78.5,0,0,4,0,2,32.4878,3,0,4,5,0,8,0,1,2,0,0,0,0,57,36,0,2,19.5798,44.82758621,0,0,51,0,0,0,0,4,0,0,0,2,0.066666667,14,0,0,0,9,43,6,2,0,2,0.8,84,0,0,0,1,0,1.120268966,31.9548,0,4,0,0,0,0,0,2,76,0,0,0,0,0,0,6.896551724,1,49,2,1,0,0.75,0,0,4,0,0,0,1,0,0,0,0,0.076923077,2,48.97959184,0,0,34,0,0,0,0,20,2,0,2,48.27586207,0,54.82,0.652138776,1,0,0,0,0,0,1,0,0,12,2,12,2,0.8,4,0.72,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,34,0,0,0,0,0,0,0,0,0,4,0,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,0,0,0,22,13,0,12,2,12,0,0,0,2,1,0,2,2,8,0,0,0,52,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152380952,0,2,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,32
0,17.9,687.62,196,9.047631579,0.740209211,1.107601316,0.095238095,56.2559,160,7.894736842,35.52631579,84.1777,6.578947368,0.87755102,340.45,47.36842105,0,0.684210526,2,0,198.29,8,0.055555556,2,0,3,2,6.947959184,13,0.186046512,0.795918367,6.837586207,2,41,5,6,27,0,14,2,1.186046512,4,0.048469388,0.555555556,20,3,39,0.675165517,0,0,10,0,0,0,16,4,78.5,0,0,4,0,2,32.4878,3,0,4,5,0,8,0,1,2,0,0,0,0,57,36,0,2,19.5798,44.82758621,0,0,51,0,0,0,0,4,0,0,0,2,0.066666667,14,0,0,0,9,43,6,2,0,2,0.8,84,0,0,0,1,0,1.120268966,31.9548,0,4,0,0,0,0,0,2,76,0,0,0,0,0,0,6.896551724,1,49,2,1,0,0.75,0,0,4,0,0,0,1,0,0,0,0,0.076923077,2,48.97959184,0,0,34,0,0,0,0,20,2,0,2,48.27586207,0,54.82,0.652138776,1,0,0,0,0,0,1,0,0,12,2,12,2,0.8,4,0.72,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,34,0,0,0,0,0,0,0,0,0,4,0,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,0,0,0,22,13,0,12,2,12,0,0,0,2,1,0,2,2,8,0,0,0,52,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152380952,0,2,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,23.5
